,CODLOCALIDAD,NPCEP17,NPCEP4,NPCEP5,DPTOMPIO,NVCBP8B,NVCBP8H,NVCBP11AA,LOCALIDAD_TEX
56,8.0,6,71,2,11001,2,2,3.0,KENNEDY
57,8.0,6,47,2,11001,1,2,3.0,KENNEDY
58,18.0,6,88,1,11001,2,2,3.0,RAFAEL URIBE URIBE
59,18.0,6,81,2,11001,2,2,3.0,RAFAEL URIBE URIBE
60,18.0,6,58,1,11001,2,2,3.0,RAFAEL URIBE URIBE
61,18.0,6,59,2,11001,1,2,3.0,RAFAEL URIBE URIBE
62,6.0,6,79,2,11001,2,2,3.0,TUNJUELITO
63,8.0,6,72,2,11001,1,2,2.0,KENNEDY
64,8.0,6,22,1,11001,2,2,2.0,KENNEDY
65,8.0,6,40,2,11001,2,2,1.0,KENNEDY
66,8.0,5,40,2,11001,2,2,2.0,KENNEDY
67,8.0,5,14,1,11001,2,2,2.0,KENNEDY
68,8.0,6,16,1,11001,2,2,2.0,KENNEDY
69,8.0,6,9,1,11001,2,2,2.0,KENNEDY
70,8.0,6,87,2,11001,2,2,3.0,KENNEDY
71,16.0,6,23,2,11001,2,2,2.0,PUENTE ARANDA
72,10.0,6,81,2,11001,2,2,3.0,ENGATIVA
73,10.0,6,83,1,11001,2,2,3.0,ENGATIVA
74,12.0,6,45,1,11001,2,2,4.0,BARRIOS UNIDOS
75,12.0,6,45,1,11001,9,2,4.0,BARRIOS UNIDOS
76,3.0,6,56,1,11001,1,9,2.0,SANTA FE
77,3.0,6,14,2,11001,2,2,2.0,SANTA FE
78,8.0,6,63,2,11001,2,2,2.0,KENNEDY
79,8.0,6,72,1,11001,1,2,2.0,KENNEDY
80,8.0,6,53,2,11001,2,2,2.0,KENNEDY
81,8.0,6,60,2,11001,2,2,2.0,KENNEDY
82,8.0,6,40,1,11001,1,2,2.0,KENNEDY
83,8.0,6,20,1,11001,2,2,2.0,KENNEDY
84,8.0,6,46,1,11001,2,2,3.0,KENNEDY
85,8.0,6,65,1,11001,2,2,3.0,KENNEDY
86,9.0,6,7,1,11001,1,2,3.0,FONTIBON
87,9.0,6,27,2,11001,2,2,2.0,FONTIBON
88,9.0,6,16,2,11001,2,2,4.0,FONTIBON
89,9.0,6,11,1,11001,1,2,4.0,FONTIBON
90,1.0,6,6,2,11001,2,2,3.0,USAQUEN
91,1.0,6,3,2,11001,2,2,3.0,USAQUEN
92,1.0,6,45,2,11001,2,2,3.0,USAQUEN
93,1.0,6,46,2,11001,2,2,3.0,USAQUEN
94,1.0,6,92,1,11001,1,2,3.0,USAQUEN
95,11.0,6,39,2,11001,2,2,5.0,SUBA
96,12.0,6,61,2,11001,2,1,3.0,BARRIOS UNIDOS
97,12.0,6,7,2,11001,1,2,3.0,BARRIOS UNIDOS
98,12.0,6,67,2,11001,1,1,3.0,BARRIOS UNIDOS
99,10.0,6,21,2,11001,2,2,3.0,ENGATIVA
100,10.0,6,29,2,11001,2,2,3.0,ENGATIVA
101,4.0,6,22,1,11001,2,2,2.0,SAN CRISTOBAL
102,4.0,6,28,2,11001,2,2,2.0,SAN CRISTOBAL
103,15.0,6,21,2,11001,1,1,2.0,ANTONIO NARIÑO
104,15.0,6,25,2,11001,2,2,2.0,ANTONIO NARIÑO
105,15.0,6,15,2,11001,2,2,3.0,ANTONIO NARIÑO
106,15.0,6,58,2,11001,2,2,3.0,ANTONIO NARIÑO
107,17.0,6,7,1,11001,2,2,2.0,CANDELARIA
108,4.0,6,1,2,11001,2,2,2.0,SAN CRISTOBAL
109,18.0,6,27,1,11001,2,2,3.0,RAFAEL URIBE URIBE
110,18.0,6,8,2,11001,2,2,3.0,RAFAEL URIBE URIBE
111,8.0,6,53,1,11001,2,2,2.0,KENNEDY
112,8.0,6,69,2,11001,2,2,2.0,KENNEDY
113,8.0,6,68,2,11001,1,2,2.0,KENNEDY
114,8.0,6,33,2,11001,2,2,3.0,KENNEDY
115,8.0,6,31,1,11001,2,2,3.0,KENNEDY
116,9.0,6,77,2,11001,2,2,3.0,FONTIBON
117,9.0,6,24,1,11001,2,2,3.0,FONTIBON
118,13.0,6,9,1,11001,2,2,4.0,TEUSAQUILLO
119,13.0,6,18,1,11001,2,2,4.0,TEUSAQUILLO
120,13.0,6,12,1,11001,2,2,4.0,TEUSAQUILLO
121,13.0,6,12,1,11001,2,2,4.0,TEUSAQUILLO
122,11.0,6,1,2,11001,1,2,2.0,SUBA
123,11.0,6,10,1,11001,2,2,5.0,SUBA
124,11.0,6,63,2,11001,2,2,4.0,SUBA
125,11.0,6,34,1,11001,2,2,4.0,SUBA
126,11.0,6,13,1,11001,2,2,4.0,SUBA
127,11.0,6,49,2,11001,2,2,4.0,SUBA
128,3.0,6,20,1,11001,2,2,3.0,SANTA FE
129,3.0,6,19,1,11001,2,2,3.0,SANTA FE
130,4.0,1,39,2,11001,1,2,1.0,SAN CRISTOBAL
131,4.0,6,14,2,11001,1,2,1.0,SAN CRISTOBAL
132,5.0,6,26,1,11001,1,2,1.0,USME
133,5.0,6,40,2,11001,1,2,1.0,USME
134,5.0,6,65,1,11001,1,2,2.0,USME
135,5.0,6,57,2,11001,1,2,2.0,USME
136,5.0,6,19,2,11001,1,2,2.0,USME
137,5.0,6,14,2,11001,9,9,2.0,USME
138,5.0,6,26,1,11001,2,2,2.0,USME
139,5.0,6,59,2,11001,2,2,2.0,USME
140,11.0,6,14,2,11001,2,2,2.0,SUBA
141,11.0,6,49,2,11001,2,2,3.0,SUBA
142,11.0,6,29,2,11001,2,2,4.0,SUBA
143,11.0,6,49,2,11001,2,1,2.0,SUBA
144,11.0,6,25,2,11001,1,1,2.0,SUBA
145,11.0,6,43,2,11001,2,2,5.0,SUBA
146,10.0,6,67,2,11001,1,2,3.0,ENGATIVA
147,10.0,6,70,1,11001,2,2,3.0,ENGATIVA
148,10.0,6,15,2,11001,2,2,3.0,ENGATIVA
149,10.0,6,19,2,11001,2,2,3.0,ENGATIVA
150,10.0,6,54,2,11001,2,2,3.0,ENGATIVA
151,10.0,6,24,2,11001,2,2,3.0,ENGATIVA
152,9.0,6,67,2,11001,2,2,3.0,FONTIBON
153,10.0,6,25,1,11001,1,2,3.0,ENGATIVA
154,10.0,6,52,1,11001,1,2,3.0,ENGATIVA
155,17.0,6,17,2,11001,2,2,3.0,CANDELARIA
156,15.0,6,12,2,11001,2,2,3.0,ANTONIO NARIÑO
157,14.0,6,41,1,11001,2,2,3.0,LOS MARTIRES
158,14.0,6,18,2,11001,2,2,3.0,LOS MARTIRES
159,14.0,6,11,2,11001,1,2,3.0,LOS MARTIRES
160,17.0,5,23,2,11001,2,2,2.0,CANDELARIA
161,5.0,6,46,2,11001,1,2,2.0,USME
162,5.0,6,37,1,11001,2,2,2.0,USME
163,19.0,6,28,2,11001,2,2,2.0,CIUDAD BOLIVAR
164,6.0,6,60,2,11001,2,2,3.0,TUNJUELITO
165,6.0,6,38,2,11001,2,2,3.0,TUNJUELITO
166,16.0,6,65,2,11001,2,2,3.0,PUENTE ARANDA
167,16.0,6,18,1,11001,2,1,3.0,PUENTE ARANDA
168,16.0,6,49,1,11001,2,2,3.0,PUENTE ARANDA
169,16.0,6,3,2,11001,2,2,3.0,PUENTE ARANDA
170,16.0,6,20,2,11001,2,2,3.0,PUENTE ARANDA
171,8.0,6,13,1,11001,2,2,3.0,KENNEDY
172,18.0,6,4,1,11001,2,2,3.0,RAFAEL URIBE URIBE
173,8.0,6,30,2,11001,2,2,2.0,KENNEDY
174,8.0,6,9,2,11001,2,2,2.0,KENNEDY
175,8.0,6,12,2,11001,2,2,3.0,KENNEDY
176,8.0,6,17,1,11001,2,2,2.0,KENNEDY
177,8.0,6,20,2,11001,2,2,2.0,KENNEDY
178,8.0,6,56,1,11001,2,2,2.0,KENNEDY
179,7.0,6,61,2,11001,1,2,2.0,BOSA
180,7.0,6,13,2,11001,2,2,2.0,BOSA
181,7.0,6,23,2,11001,2,2,2.0,BOSA
182,7.0,6,3,2,11001,2,2,2.0,BOSA
183,7.0,6,49,2,11001,2,2,2.0,BOSA
184,7.0,6,17,2,11001,2,2,2.0,BOSA
185,11.0,6,22,1,11001,2,1,3.0,SUBA
186,1.0,6,71,2,11001,1,2,3.0,USAQUEN
187,1.0,6,5,2,11001,2,2,3.0,USAQUEN
188,1.0,6,59,2,11001,1,2,4.0,USAQUEN
189,11.0,6,20,2,11001,2,2,4.0,SUBA
190,11.0,6,78,2,11001,1,2,5.0,SUBA
191,10.0,6,56,2,11001,2,1,3.0,ENGATIVA
192,10.0,6,74,2,11001,2,2,3.0,ENGATIVA
193,10.0,6,18,1,11001,2,2,3.0,ENGATIVA
194,10.0,6,23,2,11001,2,2,2.0,ENGATIVA
195,13.0,6,28,2,11001,2,2,4.0,TEUSAQUILLO
196,13.0,6,88,2,11001,2,2,5.0,TEUSAQUILLO
197,12.0,6,95,2,11001,1,2,3.0,BARRIOS UNIDOS
198,3.0,6,27,1,11001,1,1,1.0,SANTA FE
199,3.0,6,5,2,11001,2,2,1.0,SANTA FE
200,8.0,6,16,2,11001,2,2,2.0,KENNEDY
201,8.0,6,53,1,11001,2,2,3.0,KENNEDY
202,7.0,6,53,2,11001,2,2,3.0,BOSA
203,7.0,6,63,2,11001,2,2,3.0,BOSA
204,8.0,6,53,1,11001,2,1,3.0,KENNEDY
205,8.0,3,66,1,11001,2,2,3.0,KENNEDY
206,8.0,6,60,2,11001,2,2,3.0,KENNEDY
207,8.0,6,36,1,11001,2,2,3.0,KENNEDY
208,8.0,6,30,1,11001,1,2,3.0,KENNEDY
209,8.0,6,37,2,11001,1,2,3.0,KENNEDY
210,8.0,6,28,1,11001,2,2,3.0,KENNEDY
211,9.0,6,22,2,11001,2,2,3.0,FONTIBON
212,9.0,6,38,1,11001,2,2,3.0,FONTIBON
213,8.0,6,16,1,11001,2,2,3.0,KENNEDY
214,8.0,6,13,2,11001,2,2,3.0,KENNEDY
215,9.0,6,8,1,11001,2,2,3.0,FONTIBON
216,9.0,6,35,2,11001,1,2,2.0,FONTIBON
217,9.0,6,15,2,11001,2,2,2.0,FONTIBON
218,16.0,6,8,1,11001,2,2,3.0,PUENTE ARANDA
219,16.0,6,63,2,11001,2,2,2.0,PUENTE ARANDA
220,16.0,6,59,2,11001,2,2,3.0,PUENTE ARANDA
221,1.0,6,85,2,11001,2,2,3.0,USAQUEN
222,12.0,6,27,2,11001,2,2,3.0,BARRIOS UNIDOS
223,12.0,6,41,2,11001,2,2,3.0,BARRIOS UNIDOS
224,13.0,6,7,1,11001,2,2,4.0,TEUSAQUILLO
225,4.0,6,91,2,11001,2,2,2.0,SAN CRISTOBAL
226,4.0,6,61,1,11001,2,2,2.0,SAN CRISTOBAL
227,4.0,6,39,2,11001,2,2,2.0,SAN CRISTOBAL
228,5.0,6,17,2,11001,2,2,1.0,USME
229,6.0,5,17,2,11001,1,2,3.0,TUNJUELITO
230,6.0,6,86,1,11001,1,2,3.0,TUNJUELITO
231,6.0,6,82,2,11001,2,2,3.0,TUNJUELITO
232,6.0,6,75,2,11001,2,2,3.0,TUNJUELITO
233,8.0,6,27,2,11001,2,1,3.0,KENNEDY
234,6.0,6,3,1,11001,2,2,3.0,TUNJUELITO
235,6.0,6,61,2,11001,2,2,3.0,TUNJUELITO
236,6.0,6,26,2,11001,2,2,3.0,TUNJUELITO
237,19.0,6,56,1,11001,2,2,3.0,CIUDAD BOLIVAR
238,19.0,6,23,1,11001,9,9,1.0,CIUDAD BOLIVAR
239,19.0,6,43,2,11001,1,2,1.0,CIUDAD BOLIVAR
240,19.0,6,72,1,11001,1,2,1.0,CIUDAD BOLIVAR
241,19.0,6,29,2,11001,2,2,1.0,CIUDAD BOLIVAR
242,19.0,5,6,1,11001,2,2,1.0,CIUDAD BOLIVAR
243,8.0,6,14,2,11001,2,2,2.0,KENNEDY
244,8.0,6,13,1,11001,1,2,2.0,KENNEDY
245,8.0,6,65,1,11001,2,2,2.0,KENNEDY
246,8.0,6,23,2,11001,2,2,2.0,KENNEDY
247,8.0,6,1,1,11001,2,2,2.0,KENNEDY
248,9.0,6,81,1,11001,2,2,4.0,FONTIBON
249,9.0,6,73,2,11001,2,2,4.0,FONTIBON
250,9.0,6,3,2,11001,2,2,4.0,FONTIBON
251,9.0,6,52,1,11001,1,2,3.0,FONTIBON
252,9.0,6,48,1,11001,2,2,4.0,FONTIBON
253,9.0,6,10,2,11001,2,2,4.0,FONTIBON
254,9.0,6,5,2,11001,2,2,4.0,FONTIBON
255,9.0,6,57,1,11001,2,2,4.0,FONTIBON
256,11.0,6,76,2,11001,1,2,2.0,SUBA
257,11.0,6,6,1,11001,1,2,2.0,SUBA
258,2.0,6,13,1,11001,2,2,3.0,CHAPINERO
259,15.0,6,73,1,11001,1,2,3.0,ANTONIO NARIÑO
260,15.0,6,35,1,11001,2,2,3.0,ANTONIO NARIÑO
261,18.0,6,71,2,11001,2,2,3.0,RAFAEL URIBE URIBE
262,19.0,6,25,2,11001,2,1,2.0,CIUDAD BOLIVAR
263,19.0,6,44,2,11001,2,2,1.0,CIUDAD BOLIVAR
264,19.0,6,16,1,11001,2,2,2.0,CIUDAD BOLIVAR
265,19.0,6,58,2,11001,1,1,1.0,CIUDAD BOLIVAR
266,19.0,6,14,2,11001,1,1,1.0,CIUDAD BOLIVAR
267,8.0,6,48,2,11001,2,2,2.0,KENNEDY
268,13.0,6,33,2,11001,2,2,4.0,TEUSAQUILLO
269,13.0,6,38,1,11001,2,2,4.0,TEUSAQUILLO
270,13.0,6,66,2,11001,2,2,3.0,TEUSAQUILLO
271,1.0,6,15,1,11001,2,2,4.0,USAQUEN
272,1.0,6,6,1,11001,2,2,4.0,USAQUEN
273,1.0,6,47,2,11001,2,2,4.0,USAQUEN
274,1.0,6,23,1,11001,2,2,2.0,USAQUEN
275,1.0,6,10,1,11001,2,2,2.0,USAQUEN
276,11.0,6,51,2,11001,2,2,2.0,SUBA
277,11.0,6,50,2,11001,2,2,2.0,SUBA
278,11.0,6,35,2,11001,2,2,5.0,SUBA
279,11.0,6,77,1,11001,1,2,5.0,SUBA
280,12.0,6,76,2,11001,2,2,3.0,BARRIOS UNIDOS
281,12.0,6,78,1,11001,2,2,3.0,BARRIOS UNIDOS
282,10.0,6,21,1,11001,2,2,3.0,ENGATIVA
283,10.0,6,15,1,11001,2,2,3.0,ENGATIVA
284,10.0,6,29,1,11001,2,2,3.0,ENGATIVA
285,10.0,6,79,2,11001,2,2,3.0,ENGATIVA
286,10.0,6,16,2,11001,1,1,3.0,ENGATIVA
287,12.0,6,31,1,11001,2,2,3.0,BARRIOS UNIDOS
288,12.0,6,34,1,11001,1,2,3.0,BARRIOS UNIDOS
289,12.0,6,55,1,11001,2,2,3.0,BARRIOS UNIDOS
290,12.0,6,62,2,11001,2,2,3.0,BARRIOS UNIDOS
291,12.0,6,77,2,11001,1,2,3.0,BARRIOS UNIDOS
292,12.0,6,64,1,11001,2,2,3.0,BARRIOS UNIDOS
293,12.0,6,42,2,11001,2,2,4.0,BARRIOS UNIDOS
294,14.0,6,12,1,11001,2,2,3.0,LOS MARTIRES
295,14.0,6,61,2,11001,2,2,3.0,LOS MARTIRES
296,4.0,6,19,2,11001,2,2,1.0,SAN CRISTOBAL
297,5.0,6,62,1,11001,1,2,1.0,USME
298,5.0,6,4,2,11001,2,2,1.0,USME
299,5.0,6,15,2,11001,9,9,2.0,USME
300,5.0,6,64,1,11001,9,9,2.0,USME
301,5.0,6,51,2,11001,2,2,2.0,USME
302,5.0,6,46,2,11001,9,9,2.0,USME
303,5.0,6,22,1,11001,9,9,2.0,USME
304,5.0,6,59,2,11001,2,1,2.0,USME
305,5.0,6,24,2,11001,1,2,2.0,USME
306,5.0,6,21,2,11001,2,2,2.0,USME
307,18.0,5,29,1,11001,2,2,2.0,RAFAEL URIBE URIBE
308,16.0,6,81,2,11001,2,2,3.0,PUENTE ARANDA
309,18.0,6,33,2,11001,1,2,3.0,RAFAEL URIBE URIBE
310,7.0,6,42,2,11001,2,2,2.0,BOSA
311,7.0,6,21,1,11001,1,9,2.0,BOSA
312,7.0,6,55,2,11001,2,2,2.0,BOSA
313,7.0,6,26,2,11001,2,2,2.0,BOSA
314,7.0,6,45,1,11001,2,2,2.0,BOSA
315,7.0,6,59,2,11001,2,2,2.0,BOSA
316,9.0,6,19,1,11001,1,2,2.0,FONTIBON
317,9.0,6,28,2,11001,2,2,2.0,FONTIBON
318,9.0,6,22,2,11001,2,2,2.0,FONTIBON
319,9.0,6,71,2,11001,2,2,2.0,FONTIBON
320,9.0,5,44,1,11001,2,2,4.0,FONTIBON
321,9.0,6,11,2,11001,2,2,4.0,FONTIBON
322,8.0,6,7,1,11001,2,2,3.0,KENNEDY
323,10.0,6,54,2,11001,1,1,3.0,ENGATIVA
324,10.0,6,24,1,11001,1,1,3.0,ENGATIVA
325,10.0,6,17,1,11001,1,1,3.0,ENGATIVA
326,10.0,6,82,2,11001,1,1,3.0,ENGATIVA
327,10.0,6,51,2,11001,9,9,4.0,ENGATIVA
328,12.0,6,13,1,11001,2,2,3.0,BARRIOS UNIDOS
329,14.0,6,52,2,11001,1,2,2.0,LOS MARTIRES
330,14.0,6,41,2,11001,2,2,3.0,LOS MARTIRES
331,3.0,6,27,2,11001,2,2,4.0,SANTA FE
332,19.0,6,29,1,11001,2,2,2.0,CIUDAD BOLIVAR
333,6.0,6,66,1,11001,2,2,2.0,TUNJUELITO
334,6.0,6,93,2,11001,1,2,2.0,TUNJUELITO
335,6.0,5,48,2,11001,2,2,2.0,TUNJUELITO
336,8.0,6,5,2,11001,2,2,2.0,KENNEDY
337,8.0,6,55,2,11001,2,2,2.0,KENNEDY
338,8.0,6,16,2,11001,2,2,2.0,KENNEDY
339,7.0,6,38,2,11001,9,9,2.0,BOSA
340,9.0,6,23,2,11001,2,2,3.0,FONTIBON
341,9.0,6,54,2,11001,2,2,3.0,FONTIBON
342,9.0,6,6,1,11001,2,2,3.0,FONTIBON
343,8.0,6,4,1,11001,2,2,3.0,KENNEDY
344,8.0,6,7,1,11001,2,2,3.0,KENNEDY
345,9.0,6,16,2,11001,2,2,2.0,FONTIBON
346,8.0,6,10,1,11001,2,2,2.0,KENNEDY
347,8.0,6,23,2,11001,2,2,2.0,KENNEDY
348,8.0,6,82,2,11001,2,2,2.0,KENNEDY
349,11.0,6,22,1,11001,2,2,5.0,SUBA
350,11.0,6,38,2,11001,2,2,5.0,SUBA
351,11.0,6,20,1,11001,2,2,4.0,SUBA
352,11.0,6,7,1,11001,2,2,3.0,SUBA
353,11.0,6,66,2,11001,2,2,3.0,SUBA
354,11.0,6,12,2,11001,2,2,3.0,SUBA
355,11.0,6,8,2,11001,2,2,3.0,SUBA
356,11.0,6,8,1,11001,2,2,3.0,SUBA
357,11.0,6,20,2,11001,2,2,4.0,SUBA
358,11.0,6,6,2,11001,2,2,4.0,SUBA
359,11.0,6,1,1,11001,2,2,4.0,SUBA
360,11.0,6,9,2,11001,2,2,4.0,SUBA
361,11.0,6,16,1,11001,2,2,3.0,SUBA
362,9.0,6,34,1,11001,2,2,4.0,FONTIBON
363,9.0,6,4,2,11001,2,2,4.0,FONTIBON
364,9.0,6,76,2,11001,2,2,4.0,FONTIBON
365,9.0,6,87,2,11001,2,2,4.0,FONTIBON
366,13.0,6,25,1,11001,2,2,4.0,TEUSAQUILLO
367,13.0,6,35,2,11001,2,2,4.0,TEUSAQUILLO
368,13.0,6,43,1,11001,2,2,4.0,TEUSAQUILLO
369,13.0,6,28,1,11001,2,2,4.0,TEUSAQUILLO
370,13.0,6,68,1,11001,2,2,4.0,TEUSAQUILLO
371,18.0,6,55,2,11001,2,2,3.0,RAFAEL URIBE URIBE
372,18.0,6,19,1,11001,2,2,3.0,RAFAEL URIBE URIBE
373,19.0,6,17,1,11001,2,2,3.0,CIUDAD BOLIVAR
374,19.0,6,50,2,11001,1,2,3.0,CIUDAD BOLIVAR
375,19.0,6,25,1,11001,1,2,3.0,CIUDAD BOLIVAR
376,8.0,6,9,1,11001,2,2,2.0,KENNEDY
377,8.0,6,44,2,11001,2,2,2.0,KENNEDY
378,7.0,6,41,2,11001,2,2,2.0,BOSA
379,9.0,6,30,2,11001,2,2,3.0,FONTIBON
380,9.0,6,3,2,11001,2,2,3.0,FONTIBON
381,9.0,6,14,2,11001,2,2,3.0,FONTIBON
382,9.0,6,14,1,11001,2,1,2.0,FONTIBON
383,11.0,6,6,2,11001,2,2,2.0,SUBA
384,11.0,6,38,2,11001,2,2,2.0,SUBA
385,10.0,6,27,1,11001,2,2,3.0,ENGATIVA
386,10.0,6,5,2,11001,2,2,3.0,ENGATIVA
387,10.0,6,55,2,11001,2,2,2.0,ENGATIVA
388,9.0,6,45,2,11001,2,2,4.0,FONTIBON
389,3.0,6,80,2,11001,2,2,2.0,SANTA FE
390,14.0,6,52,1,11001,2,2,3.0,LOS MARTIRES
391,3.0,6,61,1,11001,2,2,3.0,SANTA FE
392,3.0,6,26,2,11001,9,9,3.0,SANTA FE
393,4.0,6,48,2,11001,2,2,2.0,SAN CRISTOBAL
394,4.0,6,49,2,11001,1,1,2.0,SAN CRISTOBAL
395,4.0,6,27,2,11001,2,2,2.0,SAN CRISTOBAL
396,4.0,6,5,1,11001,2,2,2.0,SAN CRISTOBAL
397,4.0,6,9,1,11001,2,2,1.0,SAN CRISTOBAL
398,5.0,6,9,1,11001,1,2,1.0,USME
399,16.0,6,8,2,11001,2,2,3.0,PUENTE ARANDA
400,16.0,6,26,2,11001,2,2,3.0,PUENTE ARANDA
401,18.0,6,24,1,11001,1,1,2.0,RAFAEL URIBE URIBE
402,8.0,6,18,1,11001,2,2,2.0,KENNEDY
403,8.0,6,17,1,11001,2,2,2.0,KENNEDY
404,8.0,6,13,1,11001,2,2,2.0,KENNEDY
405,8.0,6,46,2,11001,2,2,2.0,KENNEDY
406,8.0,6,24,1,11001,2,2,2.0,KENNEDY
407,8.0,6,23,1,11001,2,2,2.0,KENNEDY
408,8.0,6,6,1,11001,2,2,2.0,KENNEDY
409,8.0,6,57,2,11001,2,2,2.0,KENNEDY
410,8.0,6,30,2,11001,2,2,2.0,KENNEDY
411,8.0,6,25,2,11001,2,2,2.0,KENNEDY
412,8.0,6,23,1,11001,1,2,3.0,KENNEDY
413,8.0,6,50,2,11001,2,2,3.0,KENNEDY
414,9.0,6,14,1,11001,2,2,4.0,FONTIBON
415,9.0,6,22,2,11001,2,2,4.0,FONTIBON
416,9.0,6,6,1,11001,2,2,4.0,FONTIBON
417,9.0,6,18,1,11001,2,2,4.0,FONTIBON
418,9.0,6,14,1,11001,2,2,4.0,FONTIBON
419,9.0,6,23,1,11001,2,9,4.0,FONTIBON
420,9.0,6,29,2,11001,2,2,3.0,FONTIBON
421,9.0,6,69,2,11001,2,2,4.0,FONTIBON
422,9.0,6,14,2,11001,2,2,4.0,FONTIBON
423,16.0,6,53,1,11001,1,2,1.0,PUENTE ARANDA
424,13.0,6,33,2,11001,2,2,4.0,TEUSAQUILLO
425,13.0,6,57,2,11001,2,2,4.0,TEUSAQUILLO
426,,6,27,2,25295,2,2,2.0,
427,,6,65,2,25295,2,2,2.0,
428,,6,15,2,25295,2,2,2.0,
429,,6,68,1,25295,2,2,2.0,
430,,6,17,2,25295,2,2,2.0,
431,11.0,6,73,1,11001,2,2,5.0,SUBA
432,21.0,6,41,2,11001,2,2,2.0,OTRA LOCALIDAD RURAL
433,21.0,6,22,1,11001,2,2,2.0,OTRA LOCALIDAD RURAL
434,21.0,6,55,2,11001,1,2,2.0,OTRA LOCALIDAD RURAL
435,21.0,6,14,1,11001,2,2,2.0,OTRA LOCALIDAD RURAL
436,11.0,6,70,2,11001,1,2,5.0,SUBA
437,11.0,6,5,2,11001,1,2,6.0,SUBA
438,11.0,6,25,1,11001,2,2,6.0,SUBA
439,11.0,6,63,2,11001,2,2,5.0,SUBA
440,11.0,6,51,2,11001,2,2,2.0,SUBA
441,1.0,6,8,1,11001,2,2,3.0,USAQUEN
442,1.0,6,15,1,11001,2,2,3.0,USAQUEN
443,1.0,6,4,1,11001,2,2,3.0,USAQUEN
444,11.0,6,63,2,11001,1,2,3.0,SUBA
